,Year,DonorName,RecipientName,ProjectTitle,PurposeCode,ShortDescription,LongDescription,USD_Disbursement_Defl
1,2019,Sweden,Niger,Swedish Mission Council Humanitarian frame 2017-2019 - Swedish Mission Council,72010,SWEDISH MISSION COUNCIL HUMANITARIAN FRAME 2017-2019 - SWEDISH MISSION COUNCIL,"72010. Swedish Mission Council Humanitarian frame 2017-2019 - Swedish Mission Council. SWEDISH MISSION COUNCIL HUMANITARIAN FRAME 2017-2019 - SWEDISH MISSION COUNCIL. The proposed programme by the Swedish Mission Council (SMC) is humanitarian and aims at meeting the humanitarian needs of affected populations in the short- and medium-term by providing emergency humanitarian support such as clean water and sanitation. In this appraisal, Sida makes the assessment that the proposed programme is relevant in relation to the Strategy for Sweden's Humanitarian Assistance provided through Sida 2017 - 2020, and that a three-year agreement on strategic partnership should be entered into between Sida and SMC for the period 1 April 2017 - 31 March 2020.In its proposal for 2017, SMC has applied for a total amount of 46,5 million SEK which includes 1) work in six countries (35,5 million SEK); 2) interventions through the Rapid Response Mechanism (10 million SEK); and 3) capacity development support (1 million SEK). During 2017 SMC proposes to work with four member organizations which are ADRA (Adventist Development and Relief Agency), IAS (International Aid Services), CCS (Christian Council of Sweden) and PMU (Pingsmissionens utvecklingssamarbete). SMC, founded in 1912, is an ecumenical membership-based organization with 35 member organizations who are active in 46 countries. The organization is engaged in both development work and humanitarian assistance and became a framework organization for Sida/CIVSAM already in 1980, while the strategic partnership with Sida in terms of humanitarian assistance was initiated as late as 2014. The 35 members are Swedish churches and Christian organizations with long histories of international work - the role of SMC is generally to support, facilitate and coordinate these partner organizations and their local partners' work.",0.546554
2,2019,Sweden,"Africa, regional",Reg SRHR - Social marketing of reproductive health supplies in sub-Sahara Africa,13020,REG SRHR - SOCIAL MARKETING OF REPRODUCTIVE HEALTH SUPPLIES IN SUB-SAHARA AFRICA,"13020. Reg SRHR - Social marketing of reproductive health supplies in sub-Sahara Africa. REG SRHR - SOCIAL MARKETING OF REPRODUCTIVE HEALTH SUPPLIES IN SUB-SAHARA AFRICA. Sida will procure a supplier to provide social marketing of a comprehensive mix of sexual and reproductive health commodities and devices. Additionally, the supplier will deliver demand generation, training, quality assurance, registration of products, regional added-value, and – where possible – contributions to local and/or regional advocacy efforts to promote access to high-quality contraceptive and safe abortion services and products and to reduce stigma around contraceptive use among unmarried, sexually active young people as well as abortion stigma.The target groups are Sexually active adolescents (10-19 yrs), Married/cohabiting and unmarried young adults (20-24 yrs), married/cohabiting and unmarried women and men over 24 years, and men who have sex with men.The program will take place from 2019-2022.There are three geographical components: 1) A regional West and Central Africa program (at least 10/15 countries, of which Mali must be one), 2) country programs in Democratic Republic of Congo, Liberia and Mozambique, and 3) an option for a regional East African program from 2020 (at least 3 of 5 countries), which will allow Sida to expand the program to another regional program for up to 50 MSEK.The total budget for the program (including the option)  is 365 MSEK.",3.666802
3,2019,Germany,West Bank and Gaza Strip,"Support of pediatric nursing education in Qubeibeh, Palestinian territories",12281,"SUPPORT OF PEDIATRIC NURSING EDUCATION IN QUBEIBEH, PALESTINIAN TERRITORIES","12281. Support of pediatric nursing education in Qubeibeh, Palestinian territories. SUPPORT OF PEDIATRIC NURSING EDUCATION IN QUBEIBEH, PALESTINIAN TERRITORIES. Support of pediatric nursing education in Qubeibeh, Palestinian territories",0.252715
4,2019,World Health Organisation,Nepal,"AC_660_3.1 Reproductive, maternal, newborn, child and adolescent health",13020,"AC_660_3.1 REPRODUCTIVE, MATERNAL, NEWBORN, CHILD AND ADOLESCENT HEALTH","13020. AC_660_3.1 Reproductive, maternal, newborn, child and adolescent health. AC_660_3.1 REPRODUCTIVE, MATERNAL, NEWBORN, CHILD AND ADOLESCENT HEALTH. 3.1 Reproductive, maternal, newborn, child and adolescent health",0.203367
5,2019,World Health Organisation,Djibouti,AC_274_4.2 Integrated people-centred health services,12281,AC_274_4.2 INTEGRATED PEOPLE-CENTRED HEALTH SERVICES,12281. AC_274_4.2 Integrated people-centred health services. AC_274_4.2 INTEGRATED PEOPLE-CENTRED HEALTH SERVICES. 4.2 Integrated people-centred health services,0.065166
6,2019,Canada,Ethiopia,Multi-Country Emergency Food Assistance - World Food Program 2019/Assistance alimentaire d'urgence multi-pays - Programme alimentaire mondial 2019,72040,MULTI-COUNTRY EMERGENCY FOOD ASSISTANCE - WORLD FOOD PROGRAM 2019/ASSISTANCE ALIMENTAIRE D'URGENCE MULTI-PAYS - PROGRAMME ALIMENTAIRE MONDIAL 2019,"72040. Multi-Country Emergency Food Assistance - World Food Program 2019/Assistance alimentaire d'urgence multi-pays - Programme alimentaire mondial 2019. MULTI-COUNTRY EMERGENCY FOOD ASSISTANCE - WORLD FOOD PROGRAM 2019/ASSISTANCE ALIMENTAIRE D'URGENCE MULTI-PAYS - PROGRAMME ALIMENTAIRE MONDIAL 2019. March 2019 - The World Food Programme (WFP) is the United Nations' frontline agency in the fight against hunger. It responds to emergencies, saves lives by quickly getting food to the hungry, and works to help prevent hunger in the future.In humanitarian emergencies, WFP focuses on providing targeted food assistance to reduce acute malnutrition and food insecurity, and to protect livelihoods. As the global lead agency for logistics and emergency telecommunications, WFP also plays a major role in providing common services for the humanitarian community. It transports passengers undertaking humanitarian work, carries light cargo for humanitarian agencies, and carries out emergency medical and security evacuations.Project activities include: (1) distributing food; (2) supplementary feeding for children under five years of age as well as pregnant and lactating women; (3) emergency school feeding programs; (4) vouchers and cash transfers for food; and (5) food for work. With the support of GAC and other donors, WFP is providing emergency food assistance to more than 90 million people facing famine, malnutrition and severe food insecurity. / Mars 2019 - Le Programme alimentaire mondial (PAM) est l'organisme de première ligne des Nations Unies dans la lutte contre la faim. Il intervient en cas d'urgence, sauve des vies en apportant rapidement de la nourriture à ceux qui ont faim et s'efforce de prévenir la faim à l'avenir.Dans les situations d'urgence humanitaire, le PAM s'attached à fournir une aide alimentaire ciblée pour réduire la malnutrition aiguë et l'insécurité alimentaire et pour protéger les moyens de subsistance. En tant qu'organisme chef de file mondial pour la logistique et les télécommunications d'urgence, le PAM joue également un rôle majeur dans la fourniture de services communs à la communauté humanitaire. Il transporte des passagers qui entreprennent des activités humanitaires, transporte des marchandises légères pour le compte d'organismes humanitaires et procède à des évacuations médicales d'urgence et à des évacuations pour des raisons de sécurité.Les activités du projet comprennent : 1) la distribution de nourriture; 2) fournir une alimentation complémentaire aux enfants de moins de cinq ans et aux femmes enceintes et à celles qui allaitent; 3) soutenir les programmes d'alimentation scolaire d'urgence; 4) distribuer des bons d'alimentation et faire des transferts de fonds visant l'achat de vivres; 5) offrir des programmes « vivres contre travail ». Avec l'appui d'AMC et d'autres donateurs, le PAM fournit une aide alimentaire d'urgence à plus de 90 millions de personnes aux prises avec la famine, la malnutrition et une grave insécurité alimentaire.",4.614193
7,2019,Canada,"Europe, regional",Deployment of Canadian Humanitarian Experts - CANADEM 2019-2021/Déploiement des experts humanitaires canadiens - CANADEM 2019-2021,72010,DEPLOYMENT OF CANADIAN HUMANITARIAN EXPERTS - CANADEM 2019-2021/DÉPLOIEMENT DES EXPERTS HUMANITAIRES CANADIENS - CANADEM 2019-2021,"72010. Deployment of Canadian Humanitarian Experts - CANADEM 2019-2021/Déploiement des experts humanitaires canadiens - CANADEM 2019-2021. DEPLOYMENT OF CANADIAN HUMANITARIAN EXPERTS - CANADEM 2019-2021/DÉPLOIEMENT DES EXPERTS HUMANITAIRES CANADIENS - CANADEM 2019-2021. One of the biggest challenges to the timely delivery of humanitarian assistance is the ability to rapidly deploy experienced humanitarian experts in the aftermath of a disaster. To address this challenge, and to enhance the timeliness, reliability and effectiveness of international humanitarian responses to crises, CANADEM maintains a roster of highly qualified disaster relief and humanitarian experts. These experts can be deployed for short term missions in response to sudden onset emergencies, at the request of United Nations humanitarian agencies.With GAC's support, CANADEM is managing the deployment of humanitarian experts in response to sudden onset crises abroad. Activities focus on: (1) managing and expanding the humanitarian experts roster, including through ongoing recruitment and skills development of humanitarian experts; and (2) facilitating the short-term deployment of humanitarian experts to UN humanitarian agencies following sudden onset crises, including in the areas of needs assessment and coordination, child protection, water and sanitation, health and nutrition, and information management. / L'un des plus grands défis lorsqu'il s'agit de fournir de l'aide humanitaire en temps opportun est la capacité de déployer rapidement des experts humanitaires chevronnés à la suite d'une catastrophe. Pour relever ce défi et améliorer la rapidité, la fiabilité et l'efficacité des interventions internationales en cas de crise humanitaire, CANADEM tient un répertoire d'experts canadiens hautement qualifiés dans les domaines des secours aux sinistrés et de l'aide humanitaire. Ces experts peuvent être déployés pour des missions à court terme en réponse à des urgences soudaines, à la demande des organismes humanitaires des Nations Unies.Grâce au soutien d'AMC, CANADEM gère le déploiement d'experts humanitaires en réponse à des crises soudaines à l'étranger. Les activités du projet consistent : 1) à gérer et à élargir le répertoire d'experts de l'aide humanitaire, y compris à veiller au recrutement continu d'experts humanitaires canadiens et au perfectionnement de leurs compétences; 2) dès qu'une crise survient, à faciliter le déploiement à court terme d'experts humanitaires canadiens auprès d'organismes humanitaires de l'ONU, y compris dans les domaines de l'évaluation et de la coordination des besoins, de la protection des enfants, de l'eau et des services sanitaires, de la santé et de la nutrition ainsi qu'en matière de gestion de l'information.",0.00471
8,2019,Canada,"Africa, regional",Support for Long-term Response to Refugee Crises and Gender-Responsive Humanitarian Action/Soutien à l'action humanitaire de longue durée adaptée au genre en lien avec les crises de réfugiés,72050,SUPPORT FOR LONG-TERM RESPONSE TO REFUGEE CRISES AND GENDER-RESPONSIVE HUMANITARIAN ACTION/SOUTIEN À L'ACTION HUMANITAIRE DE LONGUE DURÉE ADAPTÉE AU G,"72050. Support for Long-term Response to Refugee Crises and Gender-Responsive Humanitarian Action/Soutien à l'action humanitaire de longue durée adaptée au genre en lien avec les crises de réfugiés. SUPPORT FOR LONG-TERM RESPONSE TO REFUGEE CRISES AND GENDER-RESPONSIVE HUMANITARIAN ACTION/SOUTIEN À L'ACTION HUMANITAIRE DE LONGUE DURÉE ADAPTÉE AU G. This project aims to advance women's rights through more effective and gender-responsive humanitarian action, including conducting research on adolescent girls in refugee settings.Project activities include: (1) developing an integrated research program focused on gender and diversity in humanitarian action; and (2) enhancing current research platforms and local partnerships to generate more in-depth evidence on adolescent girls in refugee and internally displaced persons (IDP) settings.This project is being implemented by the Overseas Development Institute-Humanitarian Policy Group (ODI-HPG), an organization grounded in field research spanning a range of countries and emergencies.This project is being implemented by the Overseas Development Institute-Humanitarian Policy Group (ODI-HPG), an organization grounded in field research spanning a range of countries and emergencies / Ce projet vise à faire progresser les droits des femmes grâce à une action humanitaire plus efficace et adaptée au genre, y compris la réalisation de recherches sur les adolescentes dans les camps de réfugiés.Les activités du projet comprennent les suivantes : 1) élaborer un programme de recherche intégré axé sur le genre et la diversité dans l'action humanitaire; et 2) améliorer les plateformes de recherche actuelles et les partenariats locaux pour produire des données probantes plus approfondies sur les adolescentes dans les camps de réfugiés et les personnes déplacées dans leur propre pays (PDPP).Ce projet est mis en œuvre par le Humanitarian Policy Group de l'Overseas Development Institute, un organisme axé sur la recherche sur le terrain qui couvre un éventail de pays et d'urgences.",0.131876
9,2019,UNICEF,Jordan,1.2 QUALITY SERVICE DELIVERY (SUPPLY SIDE),13020,1.2 QUALITY SERVICE DELIVERY (SUPPLY SIDE),13020. 1.2 QUALITY SERVICE DELIVERY (SUPPLY SIDE). 1.2 QUALITY SERVICE DELIVERY (SUPPLY SIDE). ,0.014
10,2019,Canada,Democratic People's Republic of Korea,Multi-Country - UNICEF Humanitarian Appeals 2019/Pays multiples - Appels humanitaires de l'UNICEF 2019,72010,MULTI-COUNTRY - UNICEF HUMANITARIAN APPEALS 2019/PAYS MULTIPLES - APPELS HUMANITAIRES DE L'UNICEF 2019,"72010. Multi-Country - UNICEF Humanitarian Appeals 2019/Pays multiples - Appels humanitaires de l'UNICEF 2019. MULTI-COUNTRY - UNICEF HUMANITARIAN APPEALS 2019/PAYS MULTIPLES - APPELS HUMANITAIRES DE L'UNICEF 2019. January 2019 - Founded in 1946, the United Nations Children's Fund (UNICEF) is mandated by the United Nation General Assembly to protect the rights of children and women in developing countries through its development and humanitarian assistance programming. UNICEF's mandate in humanitarian situations is to meet the needs of the most vulnerable, to save lives and protect rights.In humanitarian emergencies, UNICEF's project activities include: (1) providing people with access to safe drinking water and sanitation facilities; (2) treating children for severe acute malnutrition; (3) providing emergency education programming for children; (4) ensuring protection services for children and women; and (5) providing basic healthcare. / Janvier 2019 – Fondé en 1946, le Fonds des Nations Unies pour l'enfance (UNICEF) est mandaté par l'Assemblée générale des Nations Unies pour protéger les droits des enfants et des femmes dans les pays en développement par le biais de ses programmes d'aide humanitaire et de développement. En situation d'urgence humanitaire, le mandat d'UNICEF est de répondre aux besoins des plus vulnérables, de sauver des vies et de protéger les droits.Les projets d'assistance humanitaire d'UNICEF incluent les activités suivantes : 1) fournir un accès accru à l'eau potable et aux installations sanitaires; 2) traiter les enfants souffrant de malnutrition aiguë sévère; 3) mettre en œuvre des programmes d'éducation en situation d'urgence pour les enfants; 4) assurer des services de protection pour les enfants et les femmes; 5) fournir des soins de santé de base.",0.361899
