"description","category"
"EBOLA EMERGENCY RESPONSE PROJECT. NA","Epidemic_Pandemic_Prep"
"AFCC2/RI-EAST AFRICA PUBLIC HEALTH LABORATORY NETWORKING PROJECT. NA","Knowledge_Gen_Sharing"
"AFCC2/RI-EAST AFRICA PUBLIC HEALTH LABORATORY NETWORKING PROJECT. NA","Knowledge_Gen_Sharing"
"AFCC2/RI-EAST AFRICA PUBLIC HEALTH LABORATORY NETWORKING PROJECT. NA","Knowledge_Gen_Sharing"
"AFCC2/RI-EAST AFRICA PUBLIC HEALTH LABORATORY NETWORKING PROJECT. NA","Knowledge_Gen_Sharing"
"EBOLA EMERGENCY RESPONSE PROJECT. NA","Epidemic_Pandemic_Prep"
"HAITI, SET, EMERGENCY RESPONSE HURRICANE. NA","not_global_func"
"MUTUAL ACCOUNTABILITY. NA","not_global_func"
"MUTUAL ACCOUNTABILITY. NA","not_global_func"
"MUTUAL ACCOUNTABILITY. NA","not_global_func"
"OP 4 - RESILIENCE AND EMERGENCY RESPONSE. NA","Epidemic_Pandemic_Prep"
"LEADERSHIP, ADVOCACY AND COMMUNICATION TO FAST TRACK THE AIDS RESPONSE. NA","Health_Advocacy"
"MUTUAL ACCOUNTABILITY. NA","not_global_func"
"HAITI, SET, EMERGENCY RESPONSE HURRICANE. NA","not_global_func"
"LEADERSHIP, ADVOCACY AND COMMUNICATION TO FAST TRACK THE AIDS RESPONSE. NA","Health_Advocacy"
"MUTUAL ACCOUNTABILITY. NA","not_global_func"
"OUTPUT 1.2: REGULATIONS AND DIRECTIVES. NA","not_global_func"
"POLIO ERADICATION. NA","Control_Cross_Border_Disease"
"LEADERSHIP, ADVOCACY AND COMMUNICATION TO FAST TRACK THE AIDS RESPONSE. NA","Health_Advocacy"
"LEADERSHIP, ADVOCACY AND COMMUNICATION TO FAST TRACK THE AIDS RESPONSE. NA","Health_Advocacy"
"LEADERSHIP, ADVOCACY AND COMMUNICATION TO FAST TRACK THE AIDS RESPONSE. NA","Health_Advocacy"
"MUTUAL ACCOUNTABILITY. NA","not_global_func"
"MUTUAL ACCOUNTABILITY. NA","not_global_func"
"LEADERSHIP, ADVOCACY AND COMMUNICATION TO FAST TRACK THE AIDS RESPONSE. NA","Health_Advocacy"
"LEADERSHIP, ADVOCACY AND COMMUNICATION TO FAST TRACK THE AIDS RESPONSE. NA","Health_Advocacy"
"MUTUAL ACCOUNTABILITY. NA","not_global_func"
"MUTUAL ACCOUNTABILITY. NA","not_global_func"
"LEADERSHIP, ADVOCACY AND COMMUNICATION TO FAST TRACK THE AIDS RESPONSE. NA","Health_Advocacy"
"LEADERSHIP, ADVOCACY AND COMMUNICATION TO FAST TRACK THE AIDS RESPONSE. NA","Health_Advocacy"
"LEADERSHIP, ADVOCACY AND COMMUNICATION TO FAST TRACK THE AIDS RESPONSE. NA","Health_Advocacy"
"LEADERSHIP, ADVOCACY AND COMMUNICATION TO FAST TRACK THE AIDS RESPONSE. NA","Health_Advocacy"
"LEADERSHIP, ADVOCACY AND COMMUNICATION TO FAST TRACK THE AIDS RESPONSE. NA","Health_Advocacy"
"MUTUAL ACCOUNTABILITY. NA","not_global_func"
"MUTUAL ACCOUNTABILITY. NA","not_global_func"
"MUTUAL ACCOUNTABILITY. NA","not_global_func"
"POLIO ERADICATION. NA","Control_Cross_Border_Disease"
"MUTUAL ACCOUNTABILITY. NA","not_global_func"
"MUTUAL ACCOUNTABILITY. NA","not_global_func"
"CSD EMERGENCY RESPONSE. NA","not_global_func"
"VANUATU EMERGENCY RESPONSE. NA","not_global_func"
"MUTUAL ACCOUNTABILITY. NA","not_global_func"
"MUTUAL ACCOUNTABILITY. NA","not_global_func"
"MUTUAL ACCOUNTABILITY. NA","not_global_func"
"MUTUAL ACCOUNTABILITY. NA","not_global_func"
"TUVALU EMERGENCY RESPONSE. NA","not_global_func"
"LEADERSHIP, ADVOCACY AND COMMUNICATION TO FAST TRACK THE AIDS RESPONSE. NA","Health_Advocacy"
"01.06 EMERGENCY RESPONSE - EBOLA. NA","Epidemic_Pandemic_Prep"
"FIJI EMERGENCY RESPONSE. NA","not_global_func"
"VANUATU EMERGENCY RESPONSE. NA","not_global_func"
"LEADERSHIP, ADVOCACY AND COMMUNICATION TO FAST TRACK THE AIDS RESPONSE. NA","Health_Advocacy"
"MUTUAL ACCOUNTABILITY. NA","not_global_func"
"MUTUAL ACCOUNTABILITY. NA","not_global_func"
"LEADERSHIP, ADVOCACY AND COMMUNICATION TO FAST TRACK THE AIDS RESPONSE. NA","Health_Advocacy"
"MUTUAL ACCOUNTABILITY. NA","not_global_func"
"MUTUAL ACCOUNTABILITY. NA","not_global_func"
"MUTUAL ACCOUNTABILITY. NA","not_global_func"
"MX: SET, EMERGENCY RESPONSE EARTHQUAKE. NA","not_global_func"
"MUTUAL ACCOUNTABILITY. NA","not_global_func"
"MUTUAL ACCOUNTABILITY. NA","not_global_func"
"FIJI EMERGENCY RESPONSE. NA","not_global_func"
"MUTUAL ACCOUNTABILITY. NA","not_global_func"
"MUTUAL ACCOUNTABILITY. NA","not_global_func"
"CSD EMERGENCY RESPONSE. NA","not_global_func"
"VANUATU EMERGENCY RESPONSE. NA","not_global_func"
"MUTUAL ACCOUNTABILITY. NA","not_global_func"
"MUTUAL ACCOUNTABILITY. NA","not_global_func"
"MUTUAL ACCOUNTABILITY. NA","not_global_func"
"WB/GFDRR, PROBABILISTIC STUDY. NA","not_global_func"
"MUTUAL ACCOUNTABILITY. NA","not_global_func"
"MUTUAL ACCOUNTABILITY. NA","not_global_func"
"2.1.1: WASH NORMS AND STANDARS. NA","not_global_func"
"VANUATU EMERGENCY RESPONSE. NA","not_global_func"
"MUTUAL ACCOUNTABILITY. NA","not_global_func"
"MUTUAL ACCOUNTABILITY. NA","not_global_func"
"MX: SET, EMERGENCY RESPONSE EARTHQUAKE. NA","not_global_func"
